コメント,上場日,上場No.,馬名,性,毛色,生月日,父,母,母の父,申込者名,飼養者名,当日の上場順
"No.155
シータトウショウ２０２１
牡　3月24日生　鹿毛
父：ホッコータルマエ
母：シータトウショウ
母父：ジェニュイン
坂本　春雄",7/26（火）,155,シータトウショウ２０２１,牡,鹿,3月24日,ホッコータルマエ,シータトウショウ,ジェニュイン,坂本　春雄,㈲ヤマダステーブル,155
"No.156
エレンボーゲン２０２１
牡　3月9日生　鹿毛
父：マクフィ
母：エレンボーゲン
母父：ブラックタイド
㈲へいはた牧場",7/26（火）,156,エレンボーゲン２０２１,牡,鹿,3月9日,マクフィ,エレンボーゲン,ブラックタイド,㈲へいはた牧場,ＹＴＴパートナーシップ,156
"No.157
ラフェクレール２０２１
牡　3月21日生　栗毛
父：ニューイヤーズデイ
母：ラフェクレール
母父：スペシャルウィーク
㈲グッドラック・ファーム",7/26（火）,157,ラフェクレール２０２１,牡,栗,3月21日,ニューイヤーズデイ,ラフェクレール,スペシャルウィーク,㈲グッドラック・ファーム,㈲日高軽種馬共同育成公社,157
"No.158
ヘイローフジ２０２１
牡　3月17日生　栗毛
父：ヘニーヒューズ
母：ヘイローフジ
母父：キングヘイロー
協和牧場",7/26（火）,158,ヘイローフジ２０２１,牡,栗,3月17日,ヘニーヒューズ,ヘイローフジ,キングヘイロー,協和牧場,協和牧場,158
"No.159
ヒシラガーディア２０２１
牡　3月18日生　青鹿毛
父：デクラレーションオブウォー
母：ヒシラガーディア
母父：マンハッタンカフェ
㈲カミイスタット",7/26（火）,159,ヒシラガーディア２０２１,牡,青鹿,3月18日,デクラレーションオブウォー,ヒシラガーディア,マンハッタンカフェ,㈲カミイスタット,カルペディエム　メイド（奥山牧場内）,159
"No.160
スカイトラベラー２０２１
牡　4月22日生　鹿毛
父：シニスターミニスター
母：スカイトラベラー
母父：ディープインパクト
㈲木下牧場",7/26（火）,160,スカイトラベラー２０２１,牡,鹿,4月22日,シニスターミニスター,スカイトラベラー,ディープインパクト,㈲木下牧場,㈲木下牧場,160
"No.161
マルヨパトリオット２０２１
牡　2月8日生　黒鹿毛
父：ドレフォン
母：マルヨパトリオット
母父：アルカセット
㈲前野牧場",7/27（水）,161,マルヨパトリオット２０２１,牡,黒鹿,2月8日,ドレフォン,マルヨパトリオット,アルカセット,㈲前野牧場,㈲前野牧場,1
"No.162
シティウェルズ２０２１
牡　2月16日生　鹿毛
父：カリフォルニアクローム
母：シティウェルズ
母父：City Zip
㈲岡田牧場",7/27（水）,162,シティウェルズ２０２１,牡,鹿,2月16日,カリフォルニアクローム,シティウェルズ,City Zip,㈲岡田牧場,㈲目名共同トレーニングセンター,2
"No.163
スワンレーク２０２１
♀　4月14日生　黒鹿毛
父：アルアイン
母：スワンレーク
母父：ロードカナロア
㈱前田ファーム",7/27（水）,163,スワンレーク２０２１,♀,黒鹿,4月14日,アルアイン,スワンレーク,ロードカナロア,㈱前田ファーム,㈱前田ファーム,3
"No.164
ジュエルインザサン２０２１
♀　4月14日生　鹿毛
父：リアルスティール
母：ジュエルインザサン
母父：ルーラーシップ
アシュビル㈱",7/27（水）,164,ジュエルインザサン２０２１,♀,鹿,4月14日,リアルスティール,ジュエルインザサン,ルーラーシップ,アシュビル㈱,㈲パイオニアファーム,4
"No.165
ローザミスティカ２０２１
牡　2月24日生　栗毛
父：デクラレーションオブウォー
母：ローザミスティカ
母父：アグネスタキオン
㈲矢野牧場",7/27（水）,165,ローザミスティカ２０２１,牡,栗,2月24日,デクラレーションオブウォー,ローザミスティカ,アグネスタキオン,㈲矢野牧場,㈲矢野牧場,5
"No.166
モクレン２０２１
♀　2月2日生　栗毛
父：ダイワメジャー
母：モクレン
母父：Galileo
追分ファーム",7/27（水）,166,モクレン２０２１,♀,栗,2月2日,ダイワメジャー,モクレン,Galileo,追分ファーム,白老ファームＹｅａｒｌｉｎｇ,6
"No.167
ダリナー２０２１
牡　5月15日生　鹿毛
父：Saxon Warrior
母：ダリナー
母父：Shamardal
㈲谷川牧場",7/27（水）,167,ダリナー２０２１,牡,鹿,5月15日,Saxon Warrior,ダリナー,Shamardal,㈲谷川牧場,㈲谷川牧場,7
"No.168
アグネスダリム２０２１
♀　2月15日生　栗毛
父：ヘニーヒューズ
母：アグネスダリム
母父：ゴールドアリュール
㈲富田牧場",7/27（水）,168,アグネスダリム２０２１,♀,栗,2月15日,ヘニーヒューズ,アグネスダリム,ゴールドアリュール,㈲富田牧場,富田ステーブル,8
"No.169
スマッシュハート２０２１
牡　5月21日生　鹿毛
父：ブリックスアンドモルタル
母：スマッシュハート
母父：キングカメハメハ
㈲酒井牧場",7/27（水）,169,スマッシュハート２０２１,牡,鹿,5月21日,ブリックスアンドモルタル,スマッシュハート,キングカメハメハ,㈲酒井牧場,㈲酒井牧場,9
"No.170
ルージュクール２０２１
牡　2月14日生　青鹿毛
父：サトノクラウン
母：ルージュクール
母父：Redoute's Choice
富沢萩沢俊雄牧場",7/27（水）,170,ルージュクール２０２１,牡,青鹿,2月14日,サトノクラウン,ルージュクール,Redoute's Choice,富沢萩沢俊雄牧場,本桐共同育成センター,10
"No.171
インザスポットライト２０２１
♀　1月14日生　黒鹿毛
父：キズナ
母：インザスポットライト
母父：Exceed And Excel
㈱レイクヴィラファーム",7/27（水）,171,インザスポットライト２０２１,♀,黒鹿,1月14日,キズナ,インザスポットライト,Exceed And Excel,㈱レイクヴィラファーム,㈱レイクヴィラファーム,11
"No.172
サトノラミア２０２１
♀　4月6日生　鹿毛
父：リオンディーズ
母：サトノラミア
母父：ブライアンズタイム
㈲千代田牧場",7/27（水）,172,サトノラミア２０２１,♀,鹿,4月6日,リオンディーズ,サトノラミア,ブライアンズタイム,㈲千代田牧場,㈲千代田牧場,12
"No.173
スーパーマダム２０２１
牡　3月16日生　鹿毛
父：アジアエクスプレス
母：スーパーマダム
母父：タニノギムレット
土井牧場",7/27（水）,173,スーパーマダム２０２１,牡,鹿,3月16日,アジアエクスプレス,スーパーマダム,タニノギムレット,土井牧場,㈲福山育成牧場,13
"No.174
カウニスクッカ２０２１
牡　3月6日生　栗毛
父：カリフォルニアクローム
母：カウニスクッカ
母父：マンハッタンカフェ
㈱オリオンファーム",7/27（水）,174,カウニスクッカ２０２１,牡,栗,3月6日,カリフォルニアクローム,カウニスクッカ,マンハッタンカフェ,㈱オリオンファーム,㈱オリオンファーム,14
"No.175
エヴィータアルゼンティーナ２０２１
牡　4月4日生　鹿毛
父：ドゥラメンテ
母：エヴィータアルゼンティーナ
母父：Candy Ride
下屋敷牧場",7/27（水）,175,エヴィータアルゼンティーナ２０２１,牡,鹿,4月4日,ドゥラメンテ,エヴィータアルゼンティーナ,Candy Ride,下屋敷牧場,Ｔｅａｍ　Ｕｎｉｔｙ,15
"No.176
レインボーラヴラヴ２０２１
牡　3月26日生　鹿毛
父：ミッキーアイル
母：レインボーラヴラヴ
母父：マイネルラヴ
㈲千葉飯田牧場",7/27（水）,176,レインボーラヴラヴ２０２１,牡,鹿,3月26日,ミッキーアイル,レインボーラヴラヴ,マイネルラヴ,㈲千葉飯田牧場,㈲パイオニアファーム,16
"No.177
チャチャタイム２０２１
牡　5月9日生　栗毛
父：Nyquist
母：チャチャタイム
母父：Gio Ponti
村上　欽哉",7/27（水）,177,チャチャタイム２０２１,牡,栗,5月9日,Nyquist,チャチャタイム,Gio Ponti,村上　欽哉,㈲チェスナットファーム,17
"No.178
ニシノコハク２０２１
牡　5月12日生　栗毛
父：モーニン
母：ニシノコハク
母父：ゴールドアリュール
津田牧場",7/27（水）,178,ニシノコハク２０２１,牡,栗,5月12日,モーニン,ニシノコハク,ゴールドアリュール,津田牧場,エイトステーブル,18
"No.179
サファーガ２０２１
牡　3月5日生　栗毛
父：サンダースノー
母：サファーガ
母父：アグネスタキオン
㈲藤沢牧場",7/27（水）,179,サファーガ２０２１,牡,栗,3月5日,サンダースノー,サファーガ,アグネスタキオン,㈲藤沢牧場,エバグリーンセールスコンサインメント,19
"No.180
チェルビム２０２１
牡　2月19日生　鹿毛
父：ルーラーシップ
母：チェルビム
母父：サンデーサイレンス
㈱奥山ファーム",7/27（水）,180,チェルビム２０２１,牡,鹿,2月19日,ルーラーシップ,チェルビム,サンデーサイレンス,㈱奥山ファーム,カルペディエム　メイド（奥山牧場内）,20
"No.181
ハーモニックソウル２０２１
♀　4月24日生　鹿毛
父：ブリックスアンドモルタル
母：ハーモニックソウル
母父：ハービンジャー
㈲猿倉牧場",7/27（水）,181,ハーモニックソウル２０２１,♀,鹿,4月24日,ブリックスアンドモルタル,ハーモニックソウル,ハービンジャー,㈲猿倉牧場,㈱木村育成牧場,21
"No.182
エリモエクレール２０２１
牡　3月10日生　青毛
父：シャンハイボビー
母：エリモエクレール
母父：アグネスタキオン
西村牧場",7/27（水）,182,エリモエクレール２０２１,牡,青,3月10日,シャンハイボビー,エリモエクレール,アグネスタキオン,西村牧場,ゴールドアップホースカンパニー（泊津分場）,22
"No.183
フォーシーム２０２１
牡　5月15日生　黒鹿毛
父：エピファネイア
母：フォーシーム
母父：ダイワメジャー
林　孝輝",7/27（水）,183,フォーシーム２０２１,牡,黒鹿,5月15日,エピファネイア,フォーシーム,ダイワメジャー,林　孝輝,㈲Ｎｏ．９ホーストレーニングメソド,23
"No.184
プレシャスジェムズ２０２１
♀　4月13日生　鹿毛
父：カリフォルニアクローム
母：プレシャスジェムズ
母父：シンボリクリスエス
㈲矢野牧場",7/27（水）,184,プレシャスジェムズ２０２１,♀,鹿,4月13日,カリフォルニアクローム,プレシャスジェムズ,シンボリクリスエス,㈲矢野牧場,㈲矢野牧場,24
"No.185
コーテサン２０２１
牡　4月6日生　鹿毛
父：キズナ
母：コーテサン
母父：ストリートセンス
㈲大島牧場",7/27（水）,185,コーテサン２０２１,牡,鹿,4月6日,キズナ,コーテサン,ストリートセンス,㈲大島牧場,ヒダカシーサイドファーム,25
"No.186
ウェントワース２０２１
牡　3月3日生　黒鹿毛
父：サトノクラウン
母：ウェントワース
母父：ストリートセンス
㈲ユートピア牧場",7/27（水）,186,ウェントワース２０２１,牡,黒鹿,3月3日,サトノクラウン,ウェントワース,ストリートセンス,㈲ユートピア牧場,㈲パイオニアファーム,26
"No.187
ハタノボニート２０２１
♀　3月23日生　鹿毛
父：アルアイン
母：ハタノボニート
母父：Bernardini
㈲三石軽種馬共同育成センター",7/27（水）,187,ハタノボニート２０２１,♀,鹿,3月23日,アルアイン,ハタノボニート,Bernardini,㈲三石軽種馬共同育成センター,㈲三石軽種馬共同育成センター,27
"No.188
キープオンゴーイン２０２１
牡　4月21日生　鹿毛
父：ヘニーヒューズ
母：キープオンゴーイン
母父：ディープインパクト
㈲千代田牧場",7/27（水）,188,キープオンゴーイン２０２１,牡,鹿,4月21日,ヘニーヒューズ,キープオンゴーイン,ディープインパクト,㈲千代田牧場,㈲千代田牧場,28
"No.189
ピエノフィオレ２０２１
♀　3月9日生　黒鹿毛
父：エピファネイア
母：ピエノフィオレ
母父：キングカメハメハ
㈲宮内牧場",7/27（水）,189,ピエノフィオレ２０２１,♀,黒鹿,3月9日,エピファネイア,ピエノフィオレ,キングカメハメハ,㈲宮内牧場,㈲ディスティニーファーム,29
"No.190
イントゥザストーム２０２１
牡　3月16日生　鹿毛
父：リオンディーズ
母：イントゥザストーム
母父：ディープインパクト
㈲グランド牧場",7/27（水）,190,イントゥザストーム２０２１,牡,鹿,3月16日,リオンディーズ,イントゥザストーム,ディープインパクト,㈲グランド牧場,㈲グランド牧場,30
"No.191
ハービンマオ２０２１
♀　2月7日生　栗毛
父：ニューイヤーズデイ
母：ハービンマオ
母父：ハービンジャー
㈲登別上水牧場",7/27（水）,191,ハービンマオ２０２１,♀,栗,2月7日,ニューイヤーズデイ,ハービンマオ,ハービンジャー,㈲登別上水牧場,エバグリーンセールスコンサインメント,31
"No.192
フロリアード２０２１
牡　2月16日生　芦毛
父：マジェスティックウォリアー
母：フロリアード
母父：クロフネ
静内フジカワ牧場",7/27（水）,192,フロリアード２０２１,牡,芦,2月16日,マジェスティックウォリアー,フロリアード,クロフネ,静内フジカワ牧場,㈱森本スティーブル,32
"No.193
ヤマノラヴ２０２１
♀　2月2日生　黒鹿毛
父：キズナ
母：ヤマノラヴ
母父：アグネスデジタル
㈱チャンピオンズファーム",7/27（水）,193,ヤマノラヴ２０２１,♀,黒鹿,2月2日,キズナ,ヤマノラヴ,アグネスデジタル,㈱チャンピオンズファーム,㈱チャンピオンズファーム,33
"No.194
フィールフリーリー２０２１
♀　2月20日生　黒鹿毛
父：ブリックスアンドモルタル
母：フィールフリーリー
母父：アグネスタキオン
㈱白井牧場",7/27（水）,194,フィールフリーリー２０２１,♀,黒鹿,2月20日,ブリックスアンドモルタル,フィールフリーリー,アグネスタキオン,㈱白井牧場,㈱白井牧場,34
"No.195
プロミネント２０２１
♀　3月16日生　鹿毛
父：イスラボニータ
母：プロミネント
母父：タイキシャトル
㈲服部牧場",7/27（水）,195,プロミネント２０２１,♀,鹿,3月16日,イスラボニータ,プロミネント,タイキシャトル,㈲服部牧場,㈲服部牧場,35
"No.196
トウカイフィーバー２０２１
♀　3月11日生　鹿毛
父：デクラレーションオブウォー
母：トウカイフィーバー
母父：エンパイアメーカー
㈲二風谷ファーム",7/27（水）,196,トウカイフィーバー２０２１,♀,鹿,3月11日,デクラレーションオブウォー,トウカイフィーバー,エンパイアメーカー,㈲二風谷ファーム,二風谷軽種馬共同育成センター,36
"No.197
スイートサルサ２０２１
♀　2月8日生　黒鹿毛
父：ロードカナロア
母：スイートサルサ
母父：デュランダル
シンボリ牧場",7/27（水）,197,スイートサルサ２０２１,♀,黒鹿,2月8日,ロードカナロア,スイートサルサ,デュランダル,シンボリ牧場,シンボリ牧場,37
"No.198
ハートフル２０２１
牡　5月10日生　黒鹿毛
父：マクフィ
母：ハートフル
母父：Shamardal
㈲三石川上牧場",7/27（水）,198,ハートフル２０２１,牡,黒鹿,5月10日,マクフィ,ハートフル,Shamardal,㈲三石川上牧場,㈱ペガサスファーム,38
"No.199
ボナマティーナ２０２１
♀　3月10日生　鹿毛
父：キズナ
母：ボナマティーナ
母父：キングズベスト
㈱松浦牧場",7/27（水）,199,ボナマティーナ２０２１,♀,鹿,3月10日,キズナ,ボナマティーナ,キングズベスト,㈱松浦牧場,㈲チェスナットファーム,39
"No.200
ジャジャマーチャン２０２１
♀　3月22日生　黒鹿毛
父：カリフォルニアクローム
母：ジャジャマーチャン
母父：アドマイヤコジーン
㈲嶋田牧場",7/27（水）,200,ジャジャマーチャン２０２１,♀,黒鹿,3月22日,カリフォルニアクローム,ジャジャマーチャン,アドマイヤコジーン,㈲嶋田牧場,セールスプレップサービス,40
"No.201
オールアイキャンセイイズワウ２０２１
牡　4月15日生　鹿毛
父：サトノアラジン
母：オールアイキャンセイイズワウ
母父：Street Cry
㈲パカパカファーム",7/27（水）,201,オールアイキャンセイイズワウ２０２１,牡,鹿,4月15日,サトノアラジン,オールアイキャンセイイズワウ,Street Cry,㈲パカパカファーム,㈲パカパカファーム（厚賀分場）,41
"No.202
パーティブロッサム２０２１
牡　3月29日生　鹿毛
父：ホッコータルマエ
母：パーティブロッサム
母父：キングヘイロー
㈲千代田牧場",7/27（水）,202,パーティブロッサム２０２１,牡,鹿,3月29日,ホッコータルマエ,パーティブロッサム,キングヘイロー,㈲千代田牧場,㈲千代田牧場,42
"No.203
レッドアンコール２０２１
牡　3月14日生　栗毛
父：ヘニーヒューズ
母：レッドアンコール
母父：キングカメハメハ
森永　聡",7/27（水）,203,レッドアンコール２０２１,牡,栗,3月14日,ヘニーヒューズ,レッドアンコール,キングカメハメハ,森永　聡,㈲日高軽種馬共同育成公社,43
"No.204
レーヌミノル２０２１
牡　2月27日生　黒鹿毛
父：ブリックスアンドモルタル
母：レーヌミノル
母父：ダイワメジャー
㈲フジワラファーム",7/27（水）,204,レーヌミノル２０２１,牡,黒鹿,2月27日,ブリックスアンドモルタル,レーヌミノル,ダイワメジャー,㈲フジワラファーム,㈲フジワラファーム,44
"No.205
プレザントケイプ２０２１
牡　2月24日生　鹿毛
父：ロジャーバローズ
母：プレザントケイプ
母父：Cape Cross
㈲友田牧場",7/27（水）,205,プレザントケイプ２０２１,牡,鹿,2月24日,ロジャーバローズ,プレザントケイプ,Cape Cross,㈲友田牧場,エバグリーンセールスコンサインメント,45
"No.206
フィナリザール２０２１
牡　2月21日生　黒鹿毛
父：シルバーステート
母：フィナリザール
母父：Congrats
藤本ファーム",7/27（水）,206,フィナリザール２０２１,牡,黒鹿,2月21日,シルバーステート,フィナリザール,Congrats,藤本ファーム,㈲パイオニアファーム,46
"No.207
ピエールドリュヌ２０２１
牡　5月2日生　鹿毛
父：リアルスティール
母：ピエールドリュヌ
母父：キングカメハメハ
㈲高村牧場",7/27（水）,207,ピエールドリュヌ２０２１,牡,鹿,5月2日,リアルスティール,ピエールドリュヌ,キングカメハメハ,㈲高村牧場,㈲チェスナットファーム,47
"No.208
ブレイクダンサー２０２１
牡　2月3日生　鹿毛
父：ビッグアーサー
母：ブレイクダンサー
母父：ファルブラヴ
㈲高橋ファーム",7/27（水）,208,ブレイクダンサー２０２１,牡,鹿,2月3日,ビッグアーサー,ブレイクダンサー,ファルブラヴ,㈲高橋ファーム,㈲高橋ファーム,48
"No.209
タムロブライト２０２１
牡　3月28日生　鹿毛
父：オルフェーヴル
母：タムロブライト
母父：シルバーチャーム
㈱諏訪牧場",7/27（水）,209,タムロブライト２０２１,牡,鹿,3月28日,オルフェーヴル,タムロブライト,シルバーチャーム,㈱諏訪牧場,㈲三石軽種馬共同育成センター,49
"No.210
ダウンタウンブギ２０２１
牡　2月19日生　栗毛
父：ドレフォン
母：ダウンタウンブギ
母父：アサクサキングス
㈱クラウン",7/27（水）,210,ダウンタウンブギ２０２１,牡,栗,2月19日,ドレフォン,ダウンタウンブギ,アサクサキングス,㈱クラウン,㈱クラウン,50
"No.211
プレザントブリーズ２０２１
牡　3月5日生　栗毛
父：レイデオロ
母：プレザントブリーズ
母父：マンハッタンカフェ
㈲矢野牧場",7/27（水）,211,プレザントブリーズ２０２１,牡,栗,3月5日,レイデオロ,プレザントブリーズ,マンハッタンカフェ,㈲矢野牧場,㈲矢野牧場,51
"No.212
チャオプラヤ２０２１
牡　3月1日生　鹿毛
父：ルーラーシップ
母：チャオプラヤ
母父：ネオユニヴァース
㈲オリエント牧場",7/27（水）,212,チャオプラヤ２０２１,牡,鹿,3月1日,ルーラーシップ,チャオプラヤ,ネオユニヴァース,㈲オリエント牧場,オリエントファーム,52
"No.213
ランスタン２０２１
♀　1月21日生　鹿毛
父：ヘニーヒューズ
母：ランスタン
母父：ダイワメジャー
㈲天羽牧場",7/27（水）,213,ランスタン２０２１,♀,鹿,1月21日,ヘニーヒューズ,ランスタン,ダイワメジャー,㈲天羽牧場,㈲荻伏共同育成場,53
"No.214
アドマイヤヒナタ２０２１
牡　5月13日生　栗毛
父：デクラレーションオブウォー
母：アドマイヤヒナタ
母父：キングカメハメハ
㈲辻牧場",7/27（水）,214,アドマイヤヒナタ２０２１,牡,栗,5月13日,デクラレーションオブウォー,アドマイヤヒナタ,キングカメハメハ,㈲辻牧場,㈲辻牧場,54
"No.215
オモテナシⅡ２０２１
♀　5月9日生　黒鹿毛
父：エピファネイア
母：オモテナシⅡ
母父：Henrythenavigator
㈱チャンピオンズファーム",7/27（水）,215,オモテナシⅡ２０２１,♀,黒鹿,5月9日,エピファネイア,オモテナシⅡ,Henrythenavigator,㈱チャンピオンズファーム,㈱チャンピオンズファーム,55
"No.216
ドリームピーチ２０２１
牡　3月6日生　黒鹿毛
父：シルバーステート
母：ドリームピーチ
母父：タップダンスシチー
㈲大栄牧場",7/27（水）,216,ドリームピーチ２０２１,牡,黒鹿,3月6日,シルバーステート,ドリームピーチ,タップダンスシチー,㈲大栄牧場,㈱小国スティーブル,56
"No.217
キンショーユキヒメ２０２１
牡　1月17日生　青鹿毛
父：キズナ
母：キンショーユキヒメ
母父：メイショウサムソン
㈲佐藤牧場",7/27（水）,217,キンショーユキヒメ２０２１,牡,青鹿,1月17日,キズナ,キンショーユキヒメ,メイショウサムソン,㈲佐藤牧場,㈲日高軽種馬共同育成公社,57
"No.218
マルニ２０２１
牡　1月31日生　黒鹿毛
父：リオンディーズ
母：マルニ
母父：スクリーンヒーロー
戸川牧場",7/27（水）,218,マルニ２０２１,牡,黒鹿,1月31日,リオンディーズ,マルニ,スクリーンヒーロー,戸川牧場,㈱白井牧場,58
"No.219
コウエイラブリー２０２１
牡　3月12日生　鹿毛
父：スワーヴリチャード
母：コウエイラブリー
母父：エンパイアメーカー
佐竹　学",7/27（水）,219,コウエイラブリー２０２１,牡,鹿,3月12日,スワーヴリチャード,コウエイラブリー,エンパイアメーカー,佐竹　学,ハントバレートレーニングファーム,59
"No.220
エポカブラヴァ２０２１
牡　2月26日生　黒鹿毛
父：ニューイヤーズデイ
母：エポカブラヴァ
母父：Point Given
㈱ティーズファーム",7/27（水）,220,エポカブラヴァ２０２１,牡,黒鹿,2月26日,ニューイヤーズデイ,エポカブラヴァ,Point Given,㈱ティーズファーム,㈲谷川牧場,60
"No.221
キトゥンブルー２０２１
牡　3月9日生　黒鹿毛
父：ジャスタウェイ
母：キトゥンブルー
母父：ダンスインザダーク
㈲本間牧場",7/27（水）,221,キトゥンブルー２０２１,牡,黒鹿,3月9日,ジャスタウェイ,キトゥンブルー,ダンスインザダーク,㈲本間牧場,㈱ＮＹＳ,61
"No.222
カインドオブブルー２０２１
牡　3月30日生　黒鹿毛
父：バゴ
母：カインドオブブルー
母父：クロフネ
㈲アサヒ牧場",7/27（水）,222,カインドオブブルー２０２１,牡,黒鹿,3月30日,バゴ,カインドオブブルー,クロフネ,㈲アサヒ牧場,エバグリーンセールスコンサインメント,62
"No.223
エメライン２０２１
牡　3月11日生　鹿毛
父：ビッグアーサー
母：エメライン
母父：マンハッタンカフェ
㈲バンブー牧場",7/27（水）,223,エメライン２０２１,牡,鹿,3月11日,ビッグアーサー,エメライン,マンハッタンカフェ,㈲バンブー牧場,㈱愛知ステーブル,63
"No.224
サイレントソニック２０２１
♀　2月7日生　鹿毛
父：カリフォルニアクローム
母：サイレントソニック
母父：ディープインパクト
㈲桜井牧場",7/27（水）,224,サイレントソニック２０２１,♀,鹿,2月7日,カリフォルニアクローム,サイレントソニック,ディープインパクト,㈲桜井牧場,㈲パイオニアファーム,64
"No.225
バージニアキャット２０２１
牡　4月19日生　鹿毛
父：シルバーステート
母：バージニアキャット
母父：Bluegrass Cat
新井昭二牧場",7/27（水）,225,バージニアキャット２０２１,牡,鹿,4月19日,シルバーステート,バージニアキャット,Bluegrass Cat,新井昭二牧場,㈲チェスナットファーム,65
"No.226
ハロウィンデイズ２０２１
♀　4月19日生　鹿毛
父：エピファネイア
母：ハロウィンデイズ
母父：ディープインパクト
前川　勝春",7/27（水）,226,ハロウィンデイズ２０２１,♀,鹿,4月19日,エピファネイア,ハロウィンデイズ,ディープインパクト,前川　勝春,Ｔｅａｍ　Ｕｎｉｔｙ,66
"No.227
レガリニ２０２１
牡　2月23日生　鹿毛
父：ドレフォン
母：レガリニ
母父：ハードスパン
㈲畠山牧場",7/27（水）,227,レガリニ２０２１,牡,鹿,2月23日,ドレフォン,レガリニ,ハードスパン,㈲畠山牧場,㈲福山育成牧場,67
"No.228
ショウサンミーベル２０２１
♀　4月10日生　鹿毛
父：レイデオロ
母：ショウサンミーベル
母父：フジキセキ
モリナガファーム",7/27（水）,228,ショウサンミーベル２０２１,♀,鹿,4月10日,レイデオロ,ショウサンミーベル,フジキセキ,モリナガファーム,㈲日高軽種馬共同育成公社,68
"No.229
ビジャリカ２０２１
牡　2月14日生　鹿毛
父：サンダースノー
母：ビジャリカ
母父：ディープインパクト
㈱ハシモトファーム",7/27（水）,229,ビジャリカ２０２１,牡,鹿,2月14日,サンダースノー,ビジャリカ,ディープインパクト,㈱ハシモトファーム,㈱ハシモトファーム,69
"No.230
ジプシー２０２１
♀　4月10日生　栗毛
父：ドゥラメンテ
母：ジプシー
母父：Distorted Humor
㈲富田牧場",7/27（水）,230,ジプシー２０２１,♀,栗,4月10日,ドゥラメンテ,ジプシー,Distorted Humor,㈲富田牧場,㈱木村育成牧場,70
"No.231
アンソニカ２０２１
牡　2月13日生　鹿毛
父：リアルスティール
母：アンソニカ
母父：Purge
㈲市川牧場",7/27（水）,231,アンソニカ２０２１,牡,鹿,2月13日,リアルスティール,アンソニカ,Purge,㈲市川牧場,㈱門別牧場,71
"No.232
ハミングデイズ２０２１
♀　2月22日生　黒鹿毛
父：リオンディーズ
母：ハミングデイズ
母父：ブラックタイド
㈲千代田牧場",7/27（水）,232,ハミングデイズ２０２１,♀,黒鹿,2月22日,リオンディーズ,ハミングデイズ,ブラックタイド,㈲千代田牧場,㈲千代田牧場,72
